Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,"Push-ups, vigorous - MyFitnessPal",Other,--,"Tue, 2014 Nov 18 20:40",5:00,0.00,--,0.0,0.0,--,--,21,--,--,--,--,--,--,
 false,"Sit-ups, vigorous - MyFitnessPal",Other,--,"Tue, 2014 Nov 18 20:33",5:00,0.00,--,0.0,0.0,--,--,28,--,--,--,--,--,--,
 false,Runtastic - MyFitnessPal,Other,--,"Sun, 2014 Nov 16 22:00",20:00,--,--,--,--,--,--,24,--,--,--,--,--,--,
 false,"Push-ups, vigorous - MyFitnessPal",Other,--,"Sun, 2014 Nov 16 21:51",1:00,0.00,--,0.0,0.0,--,--,5,--,--,--,--,--,--,
 false,"Sit-ups, vigorous - MyFitnessPal",Other,--,"Sun, 2014 Nov 16 21:36",4:00,0.00,--,0.0,0.0,--,--,19,--,--,--,--,--,--,
 false,Steps - MyFitnessPal,Other,--,"Tue, 2014 Nov 11 21:00",20:00,--,--,--,--,--,--,108,--,--,--,--,--,--,
 false,W04D1 Easy Run,Running,--,"Tue, 2014 Nov 11 17:38",47:23,4.37,66,10:50,7:37,144,162,463,--,--,--,--,--,3.3,
 false,Steps - MyFitnessPal,Other,--,"Mon, 2014 Nov 10 19:00",20:00,--,--,--,--,--,--,110,--,--,--,--,--,--,
 false,Medium 5k,Running,--,"Mon, 2014 Nov 10 17:34",29:37,3.18,56,9:19,4:27,158,175,310,--,--,--,--,--,3.6,
 false,Steps - MyFitnessPal,Other,--,"Sun, 2014 Nov 2 20:00",20:00,--,--,--,--,--,--,61,--,--,--,--,--,--,
 false,W03D5 Long Run - GPS MESSED UP,Running,--,"Sun, 2014 Nov 2 14:09",1:32:07,8.86,"9,334",10:24,:31,144,161,865,--,--,--,--,--,3.6,
 false,Steps - MyFitnessPal,Other,--,"Sat, 2014 Nov 1 20:00",20:00,--,--,--,--,--,--,116,--,--,--,--,--,--,
 false,W03D4 Hills,Running,--,"Sat, 2014 Nov 1 15:25",42:20,4.24,78,9:58,5:08,155,179,436,--,--,--,--,--,3.8,
 false,Steps - MyFitnessPal,Other,--,"Thu, 2014 Oct 30 21:00",20:00,--,--,--,--,--,--,154,--,--,--,--,--,--,
 false,W03D3 Easy Run,Running,--,"Thu, 2014 Oct 30 18:05",50:59,4.94,65,10:20,4:45,142,155,478,--,--,--,--,--,3.2,
 false,Steps - MyFitnessPal,Other,--,"Wed, 2014 Oct 29 19:00",20:00,--,--,--,--,--,--,139,--,--,--,--,--,--,
 false,W03D2 Intervals,Running,--,"Wed, 2014 Oct 29 17:46",44:47,4.77,66,9:23,6:04,149,171,400,--,--,--,--,--,3.7,
 false,Steps - MyFitnessPal,Other,--,"Tue, 2014 Oct 28 20:00",20:00,--,--,--,--,--,--,195,--,--,--,--,--,--,
 false,W03D1 Easy Run,Running,--,"Tue, 2014 Oct 28 17:48",35:52,3.64,63,9:51,2:40,143,154,333,--,--,--,--,--,3.0,
 false,Steps - MyFitnessPal,Other,--,"Sun, 2014 Oct 26 19:00",20:00,--,--,--,--,--,--,55,--,--,--,--,--,--,
 
