Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,HM2W01D2,Running,--,"Tue, 2016 Sep 6 10:43",40:55,3.90,115,10:30,6:43,149,169,445,--,--,--,--,--,4.1,
 false,Run with Jake and Natalie at Rec,Treadmill Running,--,"Tue, 2016 Aug 30 18:49",20:31,2.17,13,9:27,5:39,152,167,230,--,--,--,--,--,3.6,
 false,1 Mile with Roadrunners,Treadmill Running,--,"Mon, 2016 Aug 29 20:17",13:17,1.28,10,10:25,4:06,141,171,119,--,--,--,--,--,2.7,
 false,Shake Out Run After Crim,Running,--,"Sun, 2016 Aug 28 10:53",16:59,1.83,69,9:16,7:23,158,178,205,--,--,--,--,--,3.6,
 false,Crim 10 Mile,Running,--,"Sat, 2016 Aug 27 8:09",1:42:53,10.14,374,10:09,7:10,160,174,"1,244",--,--,--,--,--,5.0,
 false,Short Run w/ 1267 1249 Jake LeTendre,Running,--,"Tue, 2016 Aug 16 20:44",16:44,1.89,79,8:51,4:18,146,176,190,--,--,--,--,--,3.1,
 false,Roadrunner Run a Mile,Treadmill Running,--,"Mon, 2016 Aug 15 20:16",12:35,1.20,3,10:30,4:17,128,153,110,--,--,--,--,--,2.2,
 false,Flint Running,Running,--,"Tue, 2016 Aug 9 20:10",23:22,2.58,85,9:04,4:34,143,166,255,--,--,--,--,--,3.2,
 false,Soccer vs. Unit 44,Uncategorized,--,"Thu, 2016 Aug 4 21:00",1:00:00,0.00,--,0.0,--,--,--,500,--,--,--,--,--,--,
 false,"Flint Running w Renee, Casey, Noah, Kirsten, Mitch Hall",Running,--,"Mon, 2016 Aug 1 20:19",21:28,2.56,89,8:22,3:39,152,184,250,--,--,--,--,--,3.6,
 false,Flint Running with Renee,Running,--,"Sun, 2016 Jul 31 12:53",17:10,1.95,85,8:49,4:09,148,181,192,--,--,--,--,--,3.1,
 false,Flint Running,Running,--,"Thu, 2016 Jul 14 20:21",20:54,2.49,33,8:25,7:10,151,175,237,--,--,--,--,--,3.2,
 false,Flint Running,Running,--,"Thu, 2016 Jul 14 12:07",3:08,0.48,20,6:31,5:46,141,150,33,--,--,--,--,--,1.5,
 false,Flint Running,Running,--,"Wed, 2016 Jul 13 14:39",24:43,2.57,105,9:36,6:58,158,176,279,--,--,--,--,--,3.8,
 false,Indoor Rowing,Indoor Rowing,--,"Tue, 2016 Jul 12 8:18",19:51,0.00,--,0.0,--,149,167,217,575,--,--,--,--,3.3,
 false,Flint Running,Running,--,"Mon, 2016 Jul 11 14:38",19:58,2.04,92,9:47,7:44,151,171,215,--,--,--,--,--,3.6,
 false,Flint Running,Running,--,"Sun, 2016 Jul 10 15:38",21:03,2.00,89,10:32,7:50,150,167,233,--,--,--,--,--,3.6,
 false,Flint Running,Running,--,"Thu, 2016 Jul 7 11:38",22:23,2.52,92,8:53,6:33,169,181,286,--,--,--,--,--,4.8,
 false,Long Walk with Mom,Casual Walking,--,"Sat, 2016 Jul 2 10:34",59:40,3.43,171,17:24,12:20,111,164,339,--,--,--,--,--,1.6,
 false,Tucson Running,Running,--,"Sun, 2016 Jun 19 7:57",20:06,2.03,16,9:53,8:07,163,179,253,--,--,--,--,--,3.9,
 
