Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,W02D5 Long Run,Running,--,"Sun, 2014 Oct 26 14:47",1:20:42,6.53,83,12:22,1:40,146,160,727,--,--,--,--,--,3.8,
 false,Steps - MyFitnessPal,Other,--,"Sat, 2014 Oct 25 20:00",20:00,--,--,--,--,--,--,67,--,--,--,--,--,--,
 false,W02D4 Hills,Running,--,"Sat, 2014 Oct 25 16:32",52:34,4.73,64,11:07,6:17,155,173,501,--,--,--,--,--,4.1,
 false,Steps - MyFitnessPal,Casual Walking,--,"Fri, 2014 Oct 24 20:00",20:00,--,--,--,--,--,--,135,--,--,--,--,--,--,
 false,Easy Long Run,Running,--,"Fri, 2014 Oct 24 17:23",1:20:30,6.97,106,11:33,7:17,144,156,700,--,--,--,--,--,3.6,
 false,Steps - MyFitnessPal,Casual Walking,--,"Thu, 2014 Oct 23 20:00",20:00,--,--,--,--,--,--,116,--,--,--,--,--,--,
 false,W02D3 Easy Run,Running,--,"Thu, 2014 Oct 23 17:32",52:30,4.68,67,11:14,3:26,146,169,477,--,--,--,--,--,3.4,
 false,Steps - MyFitnessPal,Casual Walking,--,"Wed, 2014 Oct 22 20:00",20:00,--,--,--,--,--,--,65,--,--,--,--,--,--,
 false,W02D2 Intervals,Running,--,"Wed, 2014 Oct 22 17:52",38:47,3.94,55,9:51,5:29,151,169,372,--,--,--,--,--,3.4,
 false,Steps - MyFitnessPal,Casual Walking,--,"Tue, 2014 Oct 21 20:00",20:00,--,--,--,--,--,--,93,--,--,--,--,--,--,
 false,W02D1 Easy Run,Running,--,"Tue, 2014 Oct 21 18:00",53:17,4.41,60,12:05,6:27,147,163,525,--,--,--,--,--,3.5,
 false,W01D4 Long Run,Running,--,"Sun, 2014 Oct 19 7:36",1:05:41,5.19,63,12:39,7:22,143,154,629,--,--,--,--,--,3.4,
 false,W01D3 Fartlek,Running,--,"Sat, 2014 Oct 18 17:09",31:21,3.05,34,10:17,5:38,160,179,347,--,--,--,--,--,4.0,
 false,W01D2 Steady Run,Running,--,"Wed, 2014 Oct 15 5:59",45:05,4.35,37,10:22,6:58,153,162,500,--,--,--,--,--,4.6,
 false,W01D1 Easy Run,Running,--,"Tue, 2014 Oct 14 17:20",41:22,3.52,41,11:44,7:20,140,154,421,--,--,--,--,--,3.4,
 false,Short Run in Tucson,Running,--,"Fri, 2014 Oct 10 17:38",21:35,2.69,49,8:02,6:31,168,177,311,--,--,--,--,--,4.8,
 false,First Walk with FR620,Casual Walking,--,"Thu, 2014 Oct 9 9:04",6:04,0.34,--,17:38,15:03,--,--,27,--,--,--,--,--,--,
 false,First Run In Tucson,Running,--,"Sun, 2014 Oct 5 18:22",18:49,2.37,35,7:55,3:27,--,--,288,--,--,--,--,--,--,
 false,Run w/ Jen @ Vandy,Running,--,"Mon, 2014 Sep 29 17:29",33:48,3.78,216,8:57,3:38,--,--,455,--,--,--,--,--,--,
 false,Medium Run Around Kettering,Running,--,"Wed, 2014 Sep 24 20:15",28:33,3.54,111,8:04,6:37,--,--,423,--,--,--,--,--,--,
 
