Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,HM2W05D4,Running,--,"Thu, 2016 Oct 6 17:15",32:50,3.14,82,10:27,6:05,142,155,360,--,--,--,--,--,3.1,
 false,HM2W05D3,Running,--,"Wed, 2016 Oct 5 16:49",45:08,4.46,52,10:07,6:47,154,170,518,--,--,--,--,--,4.1,
 false,HM2W05D2,Running,--,"Tue, 2016 Oct 4 17:39",35:15,3.56,56,9:55,4:53,142,166,379,--,--,--,--,--,3.2,
 false,Centennial Park with Renee,Running,--,"Wed, 2016 Sep 28 10:28",34:18,3.59,131,9:33,7:53,152,168,401,--,--,--,--,--,3.5,
 false,Easy Run with Renee in Nashville ,Running,--,"Mon, 2016 Sep 26 10:07",38:54,3.67,167,10:35,7:30,138,156,408,--,--,--,--,--,2.8,
 false,HM2W03D4,Running,--,"Thu, 2016 Sep 22 15:37",48:11,4.51,187,10:40,5:56,140,154,497,--,--,--,--,--,3.0,
 false,HM2W03D3,Running,--,"Wed, 2016 Sep 21 19:20",40:02,4.34,118,9:13,6:11,147,170,425,--,--,--,--,--,3.4,
 false,HM2W03D2,Running,--,"Tue, 2016 Sep 20 11:18",32:25,3.12,66,10:23,7:20,146,160,370,--,--,--,--,--,3.2,
 false,HM2W02D7,Running,--,"Sun, 2016 Sep 18 17:27",1:14:05,6.90,157,10:44,6:21,145,153,827,--,--,--,--,--,3.4,
 false,HM2W02D6,Running,--,"Sat, 2016 Sep 17 8:15",33:05,3.45,144,9:35,6:24,142,171,359,--,--,--,--,--,3.2,
 false,HM2W02D4,Running,--,"Thu, 2016 Sep 15 15:56",44:37,4.61,102,9:41,7:34,141,154,478,--,--,--,--,--,3.3,
 false,HM2W02D3,Running,--,"Wed, 2016 Sep 14 20:55",36:05,3.69,141,9:47,6:59,133,154,331,--,--,--,--,--,2.8,
 false,HM2W02D2,Running,--,"Tue, 2016 Sep 13 22:03",41:03,3.96,141,10:23,8:24,142,154,428,--,--,--,--,--,3.1,
 false,"Football, touch, flag, general - MyFitnessPal",Other,--,"Tue, 2016 Sep 13 20:30",45:00,--,--,--,--,--,--,433,--,--,--,--,--,--,
 false,HM2W01D7,Running,--,"Sun, 2016 Sep 11 12:52",1:04:01,5.96,243,10:45,7:11,147,162,698,--,--,--,--,--,4.0,
 false,HM2W01D6,Running,--,"Sat, 2016 Sep 10 8:42",31:24,3.04,128,10:19,6:01,144,169,317,--,--,--,--,--,3.5,
 false,Short Warm-up with Nick Mitchell ,Treadmill Running,--,"Fri, 2016 Sep 9 18:29",2:58,0.34,7,8:45,6:44,128,148,27,--,--,--,--,--,1.3,
 false,"Football, touch, flag, general - MyFitnessPal",Other,--,"Thu, 2016 Sep 8 23:30",35:00,--,--,--,--,--,--,330,--,--,--,--,--,--,
 false,"Hockey, ice - MyFitnessPal",Other,--,"Wed, 2016 Sep 7 22:00",20:00,--,--,--,--,--,--,188,--,--,--,--,--,--,
 false,HM2W01D3,Running,--,"Wed, 2016 Sep 7 15:35",44:48,4.75,125,9:25,3:15,155,171,497,--,--,--,--,--,4.4,
 
