Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Random Run Around KU,Running,--,"Fri, 2014 Sep 19 14:14",16:23,2.10,--,7:48,6:13,--,--,253,--,--,--,--,--,--,
 false,2 Mile Run Around Field,Running,--,"Tue, 2014 Sep 9 19:17",14:55,2.01,21,7:26,4:56,--,--,240,--,--,--,--,--,--,
 false,KU Meet - 1K for 10K Relay,Running,--,"Sat, 2014 Sep 6 10:57",4:21,0.62,--,7:01,5:46,--,--,74,--,--,--,--,--,--,
 false,KU Meet - 5K Individual,Running,--,"Sat, 2014 Sep 6 10:07",24:40,3.09,--,8:00,6:08,--,--,371,--,--,--,--,--,--,
 false,KU Meet - 400m Individual,Running,--,"Sat, 2014 Sep 6 9:20",1:17,0.25,--,5:08,3:53,--,--,29,--,--,--,--,--,--,
 false,KU Meet - 1K Individual,Running,--,"Sat, 2014 Sep 6 9:04",4:00,0.61,--,6:33,4:23,--,--,73,--,--,--,--,--,--,
 false,Crim 8K,Running,--,"Sat, 2014 Aug 23 9:31",45:22,5.01,205,9:04,7:30,--,--,599,--,--,--,--,--,--,
 false,4 Laps Around KU Field,Running,--,"Wed, 2014 Aug 20 18:20",21:13,2.64,51,8:02,3:12,--,--,318,--,--,--,--,--,--,
 false,3 Laps Around KU Field Plus Short Field Run,Running,--,"Mon, 2014 Aug 18 17:17",20:09,2.46,--,8:12,5:43,--,--,296,--,--,--,--,--,--,
 false,CTF + Short Run,Running,--,"Thu, 2014 Aug 14 19:49",9:05,1.14,17,7:58,6:43,--,--,137,--,--,--,--,--,--,
 false,Up North Short Run,Running,--,"Sat, 2014 Aug 9 17:35",24:42,2.79,118,8:51,5:12,--,--,337,--,--,--,--,--,--,
 false,Run on Track,Running,--,"Sun, 2014 Jul 27 4:56",7:42,1.00,--,7:42,--,--,--,--,--,--,--,--,--,--,
 false,Longer Run w/ Roadrunners,Running,--,"Tue, 2014 Jul 22 20:08",34:47,4.04,134,8:36,6:33,--,--,484,--,--,--,--,--,--,
 false,5K Run with Running Club,Running,--,"Tue, 2014 Jul 15 20:06",25:36,3.15,130,8:07,5:57,--,--,380,--,--,--,--,--,--,
 false,Untitled,Running,--,"Mon, 2014 Jun 30 15:48",21:13,2.41,13,8:48,5:14,--,--,288,--,--,--,--,--,--,
 false,Pebble Brook Run,Trail Running,--,"Sun, 2014 Jun 22 16:45",22:40,2.82,37,8:00,--,--,--,352,--,--,--,--,--,--,
 false,Running in US,Street Running,--,"Wed, 2014 Jun 11 10:09",19:39,2.49,37,7:53,6:51,--,--,299,--,--,--,--,--,--,
 false,Power Line Park Run,Street Running,--,"Wed, 2014 May 21 9:15",38:43,4.63,66,8:22,6:09,--,--,557,--,--,--,--,--,--,
 false,Easy Shanghai Run,Street Running,--,"Thu, 2014 May 8 17:05",22:58,3.26,39,7:02,5:38,--,--,396,--,--,--,--,--,--,
 false,Warmup Run w/ Sumin,Street Running,--,"Mon, 2014 May 5 15:38",11:51,1.50,11,7:54,7:04,--,--,183,--,--,--,--,--,--,
 
