Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Running in 4 Inches of Snow in Flint,Running,--,"Tue, 2016 Mar 1 15:22",17:23,2.01,98,8:39,6:13,155,169,233,--,--,--,--,--,3.2,
 false,Volleyball vs. Alpha Phi,Other,--,"Mon, 2016 Feb 29 20:00",1:00:00,--,--,--,--,--,--,207,--,--,--,--,--,--,
 false,Sunday Runday Around Kettering,Running,--,"Sun, 2016 Feb 28 16:16",23:30,3.02,128,7:46,4:21,161,172,336,--,--,--,--,--,3.7,
 false,First 2km Row,Indoor Rowing,--,"Thu, 2016 Feb 25 12:14",11:43,0.00,--,0.0,--,147,165,150,338,--,--,--,--,2.6,
 false,Untitled,Track Running,--,"Wed, 2016 Feb 24 15:43",15:34,2.01,0,7:45,6:44,152,170,208,--,--,--,--,--,3.0,
 false,Volleyball vs. Delta Chi,Other,--,"Tue, 2016 Feb 23 20:00",30:00,--,--,--,--,--,--,103,--,--,--,--,--,--,
 false,Untitled,Track Running,--,"Tue, 2016 Feb 23 18:30",5:22,0.74,3,7:13,6:50,154,165,73,--,--,--,--,--,2.1,
 false,Water Polo vs. Delts,Other,--,"Mon, 2016 Feb 22 21:35",30:00,--,--,--,--,--,--,345,--,--,--,--,--,--,
 false,Untitled,Track Running,--,"Mon, 2016 Feb 22 19:07",7:06,1.11,3,6:22,5:34,150,163,94,--,--,--,--,--,2.2,
 false,Short 500m Pull 2,Indoor Rowing,--,"Sat, 2016 Feb 20 17:15",2:07,0.00,--,0.0,--,140,157,24,60,--,--,--,--,1.3,
 false,Short 500m Pull 1,Indoor Rowing,--,"Sat, 2016 Feb 20 17:09",4:00,0.00,--,0.0,--,140,153,48,113,--,--,--,--,1.6,
 false,Flint Running,Running,--,"Fri, 2016 Feb 19 16:54",20:45,2.72,479,7:38,6:39,159,171,306,--,--,--,--,--,3.5,
 false,Water Polo vs. Sigma Chi,Other,--,"Thu, 2016 Feb 18 23:00",45:00,--,--,--,--,--,--,518,--,--,--,--,--,--,
 false,Untitled,Track Running,--,"Thu, 2016 Feb 18 15:25",7:11,1.08,3,6:40,6:07,151,168,98,--,--,--,--,--,2.2,
 false,Untitled,Track Running,--,"Wed, 2016 Feb 17 18:35",24:05,3.13,0,7:42,6:49,163,178,364,--,--,--,--,--,3.9,
 false,Volleyball vs. TX,Other,--,"Tue, 2016 Feb 16 20:00",45:00,--,--,--,--,--,--,155,--,--,--,--,--,--,
 false,Untitled,Track Running,--,"Tue, 2016 Feb 16 7:15",12:25,1.51,0,8:13,4:00,155,179,179,--,--,--,--,--,3.0,
 false,Untitled,Track Running,--,"Mon, 2016 Feb 15 18:54",15:25,2.01,3,7:41,4:13,158,173,227,--,--,--,--,--,3.2,
 false,Untitled,Track Running,--,"Sun, 2016 Feb 14 14:49",22:03,2.70,13,8:10,5:05,162,175,331,--,--,--,--,--,3.7,
 false,Untitled,Track Running,--,"Fri, 2016 Feb 12 11:15",11:11,1.61,0,6:57,5:43,153,167,157,--,--,--,--,--,2.7,
 
