Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Tucson Running,Running,--,"Wed, 2015 Nov 18 17:18",40:54,3.75,45,10:55,6:07,149,173,375,--,--,--,--,--,4.5,
 false,Tucson Running,Running,--,"Tue, 2015 Nov 17 17:05",34:45,2.75,7,12:37,3:27,142,172,304,--,--,--,--,--,3.6,
 false,Tucson Running,Running,--,"Thu, 2015 Nov 12 17:14",24:37,2.00,30,12:20,5:20,137,153,201,--,--,--,--,--,3.2,
 false,Tucson Running,Running,--,"Wed, 2015 Nov 11 16:09",17:59,1.49,26,12:04,7:20,138,151,161,--,--,--,--,--,3.1,
 false,Tucson Running,Running,--,"Tue, 2015 Nov 10 17:34",21:36,1.70,26,12:40,3:00,141,173,200,--,--,--,--,--,3.6,
 false,Tucson Running,Running,--,"Thu, 2015 Nov 5 16:18",24:23,1.93,39,12:37,:35,151,176,230,--,--,--,--,--,4.5,
 false,Tucson Running,Running,--,"Thu, 2015 Nov 5 16:14",2:04,0.26,--,7:59,:47,154,168,15,--,--,--,--,--,2.4,
 false,Tucson Running,Running,--,"Thu, 2015 Nov 5 16:09",2:53,0.33,--,8:43,7:13,136,157,24,--,--,--,--,--,2.0,
 false,South Jordan Running,Running,--,"Sun, 2015 Oct 18 11:52",27:26,2.23,7,12:19,6:24,150,171,272,--,--,--,--,--,4.6,
 false,South Jordan First Run,Running,--,"Fri, 2015 Oct 16 17:32",21:41,2.09,6,10:21,3:33,154,163,224,--,--,--,--,--,4.7,
 false,Running with Renee,Running,--,"Sun, 2015 Aug 16 9:06",19:25,2.01,27,9:41,7:56,161,175,211,--,--,--,--,--,5.0,
 false,Tucson Running,Running,--,"Tue, 2015 Jun 2 17:21",42:30,3.01,52,14:07,6:32,134,155,321,--,--,--,--,--,2.9,
 false,Tucson Running,Running,--,"Sun, 2015 May 31 17:37",1:02:08,4.36,63,14:15,2:35,140,154,565,--,--,--,--,--,3.2,
 false,Tucson Running,Running,--,"Sat, 2015 May 30 18:20",27:37,2.20,17,12:32,2:22,147,163,291,--,--,--,--,--,3.7,
 false,W01D3 Steady Run,Running,--,"Wed, 2015 May 27 17:02",40:41,3.64,65,11:11,4:32,156,168,461,--,--,--,--,--,4.9,
 false,W01D2,Running,--,"Tue, 2015 May 26 17:24",43:34,3.34,57,13:02,4:59,143,171,507,--,--,--,--,--,3.8,
 false,10K Training Plan W01D01,Running,--,"Tue, 2015 May 19 17:10",28:19,1.87,28,15:06,7:35,122,139,183,--,--,--,--,--,2.1,
 false,Easy Run on GL,Running,--,"Sun, 2015 May 10 14:58",26:41,2.30,39,11:35,3:54,151,165,257,--,--,--,--,--,4.0,
 false,"Badminton, social, general - MyFitnessPal",Other,--,"Sat, 2015 May 9 21:00",1:30:00,--,--,--,--,--,--,478,--,--,--,--,--,--,
 false,Medium Run on GL,Running,--,"Mon, 2015 May 4 17:11",34:37,3.02,46,11:28,8:47,153,180,314,--,--,--,--,--,5.0,
 
