Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Untitled,Track Running,--,"Tue, 2016 Feb 9 7:01",12:46,1.50,--,8:30,7:18,147,161,135,--,--,--,--,--,2.5,
 false,Untitled,Track Running,--,"Mon, 2016 Feb 8 18:01",19:09,2.57,--,7:27,6:07,155,167,211,--,--,--,--,--,3.1,
 false,Indoor Running at Rec Center,Running,--,"Thu, 2016 Feb 4 14:12",10:21,1.44,--,7:12,4:20,154,171,114,--,--,--,--,--,2.4,
 false,Flint Running,Street Running,--,"Wed, 2016 Feb 3 13:26",21:23,2.61,122,8:12,1:13,162,171,245,--,--,--,--,--,3.4,
 false,Flint Running,Street Running,--,"Mon, 2016 Feb 1 15:41",37:04,4.44,134,8:22,3:37,160,173,409,--,--,--,--,--,4.3,
 false,Untitled,Track Running,--,"Sun, 2016 Jan 31 13:09",24:46,2.72,--,9:07,5:57,153,172,254,--,--,--,--,--,3.5,
 false,Rochester Running,Street Running,--,"Sat, 2016 Jan 30 14:22",20:27,2.33,36,8:47,4:02,159,173,221,--,--,--,--,--,3.6,
 false,Untitled,Track Running,--,"Thu, 2016 Jan 28 18:12",19:25,2.14,--,9:04,7:02,159,172,208,--,--,--,--,--,3.4,
 false,Untitled,Track Running,--,"Wed, 2016 Jan 27 18:17",28:13,3.10,--,9:06,4:59,162,177,308,--,--,--,--,--,4.7,
 false,Untitled,Track Running,--,"Tue, 2016 Jan 26 6:48",21:26,2.22,--,9:39,5:49,159,178,228,--,--,--,--,--,4.1,
 false,Untitled,Track Running,--,"Tue, 2016 Jan 19 17:42",13:08,1.50,--,8:44,7:28,154,167,136,--,--,--,--,--,3.2,
 false,Untitled,Track Running,--,"Mon, 2016 Jan 18 13:57",24:19,2.60,--,9:22,5:40,164,180,268,--,--,--,--,--,4.6,
 false,Flint Running,Street Running,--,"Sun, 2016 Jan 17 11:32",8:52,0.94,32,9:25,4:04,159,171,95,--,--,--,--,--,3.1,
 false,Hard Run at Rec Center,Track Running,--,"Thu, 2016 Jan 14 14:14",22:54,2.47,--,9:17,6:26,168,184,257,--,--,--,--,--,5.0,
 false,Short Run With Dylan at Rec Center,Running,--,"Tue, 2016 Jan 12 18:12",14:22,1.63,0,8:50,5:52,166,184,163,--,--,--,--,--,4.4,
 false,Rochester Running,Running,--,"Mon, 2015 Dec 28 9:20",12:54,1.30,18,9:56,5:12,150,164,129,--,--,--,--,--,2.8,
 false,Tucson Running,Running,--,"Wed, 2015 Dec 9 17:25",40:26,3.82,32,10:36,5:39,156,174,402,--,--,--,--,--,5.0,
 false,Tucson Running,Running,--,"Tue, 2015 Dec 8 17:34",37:31,3.14,39,11:57,3:32,148,177,361,--,--,--,--,--,4.0,
 false,Tucson Running,Running,--,"Sat, 2015 Nov 21 14:36",46:32,3.59,24,12:59,5:55,144,156,446,--,--,--,--,--,4.0,
 false,Tucson Running,Running,--,"Thu, 2015 Nov 19 17:37",35:37,3.07,26,11:36,6:03,139,151,316,--,--,--,--,--,3.7,
 
