Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Untitled,Running,--,"Wed, 2013 Sep 18 17:25",36:43,4.56,155,8:04,6:06,--,--,513,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 2013 Sep 17 15:38",18:26,2.03,107,9:05,6:50,--,--,226,--,--,--,--,--,--,
 false,5K Meet @ Park vs. SASPD & SASPX,Running,5K Park,"Mon, 2013 Sep 16 16:30",22:02,3.11,72,7:06,4:18,--,--,351,--,--,--,--,--,--,
 false,Shanghai 30K Cycling Ride - LJZ to Home,Road Cycling,--,"Sat, 2013 Sep 14 13:15",29:09,6.68,567,13.8,19.5,--,--,588,--,--,--,--,--,--,
 false,Shanghai 30K Cycling Race - Peninsula to Ferry,Road Cycling,--,"Sat, 2013 Sep 14 12:56",10:29,1.80,183,10.3,16.3,--,--,174,--,--,--,--,--,--,
 false,Shanghai 30K Cycling Race - LJZ to Peninsula,Road Cycling,--,"Sat, 2013 Sep 14 8:53",1:23:32,19.01,854,13.7,25.3,--,--,"1,678",--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, 2013 Sep 14 7:03",11:37,2.24,139,5:11,3:10,--,--,214,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 2013 Sep 10 15:45",29:49,3.00,166,9:57,5:00,--,--,338,--,--,--,--,--,--,
 false,Untitled,Running,--,"Mon, 2013 Sep 9 16:25",6:56,1.08,100,6:26,5:00,--,--,122,--,--,--,--,--,--,
 false,Untitled,Running,--,"Mon, 2013 Sep 9 15:38",8:45,1.01,50,8:40,7:19,--,--,111,--,--,--,--,--,--,
 false,5K Meet BingJiang Forest Park,Running,--,"Sat, 2013 Sep 7 10:37",22:07,3.08,64,7:10,4:06,--,--,347,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, 2013 Sep 6 15:35",18:10,2.16,68,8:25,6:21,--,--,240,--,--,--,--,--,--,
 false,Untitled,Running,--,"Thu, 2013 Sep 5 15:40",38:09,4.68,373,8:09,3:37,--,--,535,--,--,--,--,--,--,
 false,Untitled,Running,--,"Wed, 2013 Sep 4 16:39",6:15,1.01,52,6:10,4:17,--,--,102,--,--,--,--,--,--,
 false,Recovery Run to DongJiao Gardens,Running,--,"Tue, 2013 Sep 3 15:41",40:51,4.95,127,8:13,5:48,--,--,556,--,--,--,--,--,--,
 false,5K Meet vs SASPD and SASPX,Running,--,"Mon, 2013 Sep 2 16:23",21:54,3.08,125,7:09,4:42,--,--,347,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 2013 Sep 1 15:42",18:48,2.36,87,7:58,6:23,--,--,269,--,--,--,--,--,--,
 false,Ultimate,Running,--,"Sun, 2013 Sep 1 13:58",57:56,2.74,194,21:26,3:42,--,--,290,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, 2013 Aug 30 16:03",7:01,0.71,56,9:48,3:33,--,--,81,--,--,--,--,--,--,
 false,Untitled,Running,--,"Thu, 2013 Aug 29 7:11",45:49,0.82,64,55:53,:46,--,--,94,--,--,--,--,--,--,
 
