Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,1 mile GL Run,Running,--,"Fri, 2015 May 1 17:25",10:16,1.09,13,9:24,6:09,155,180,104,--,--,--,--,--,3.1,
 false,Short Hard Run on GL Trail,Running,--,"Wed, 2015 Apr 29 17:34",25:52,2.48,45,10:26,5:25,156,177,259,--,--,--,--,--,4.4,
 false,Short Trail Run,Running,--,"Tue, 2015 Apr 28 17:52",25:36,2.49,44,10:18,3:56,159,178,267,--,--,--,--,--,4.5,
 false,"Running (jogging), 6 mph (10 min mile) - MyFitnessPal",Running,--,"Mon, 2015 Apr 6 19:00",35:00,--,--,--,--,--,--,396,--,--,--,--,--,--,
 false,Tucson Running,Running,--,"Mon, 2015 Apr 6 17:44",41:18,4.38,64,9:26,1:34,152,177,397,--,--,--,--,--,5.0,
 false,Run Indoor Track,Running,--,"Thu, 2015 Feb 26 18:26",21:18,2.19,--,9:44,7:14,161,175,235,--,--,--,--,--,4.1,
 false,Run/Walk Around JinQiao,Running,--,"Sun, 2015 Jan 11 5:15",55:54,4.56,39,12:16,6:47,136,161,393,--,--,--,--,--,4.1,
 false,Steps - MyFitnessPal,Other,--,"Tue, 2014 Dec 16 17:00",20:00,--,--,--,--,--,--,73,--,--,--,--,--,--,
 false,Steps - MyFitnessPal,Other,--,"Fri, 2014 Dec 12 21:00",20:00,--,--,--,--,--,--,155,--,--,--,--,--,--,
 false,Treadmill Run,Running,--,"Fri, 2014 Dec 12 1:18",34:17,3.51,--,9:45,6:53,161,176,372,--,--,--,--,--,3.6,
 false,"Sledding, tobogganing, bobsledding, luge - MyFitnessPal",Other,--,"Sat, 2014 Nov 29 14:00",10:00,--,--,--,--,--,--,76,--,--,--,--,--,--,
 false,Shoveling snow - MyFitnessPal,Other,--,"Sat, 2014 Nov 29 13:00",10:00,--,--,--,--,--,--,67,--,--,--,--,--,--,
 false,"Hockey, ice - MyFitnessPal",Other,--,"Sat, 2014 Nov 29 13:00",30:00,--,--,--,--,--,--,262,--,--,--,--,--,--,
 false,"Hockey, ice - MyFitnessPal",Other,--,"Fri, 2014 Nov 28 23:00",1:00:00,--,--,--,--,--,--,525,--,--,--,--,--,--,
 false,"Sledding, tobogganing, bobsledding, luge - MyFitnessPal",Other,--,"Fri, 2014 Nov 28 23:00",30:00,--,--,--,--,--,--,229,--,--,--,--,--,--,
 false,"Sledding, tobogganing, bobsledding, luge - MyFitnessPal",Other,--,"Thu, 2014 Nov 27 13:00",45:00,--,--,--,--,--,--,344,--,--,--,--,--,--,
 false,"Push-ups, vigorous - MyFitnessPal",Other,--,"Mon, 2014 Nov 24 19:40",5:00,0.00,--,0.0,0.0,--,--,20,--,--,--,--,--,--,
 false,"Sit-ups, vigorous - MyFitnessPal",Other,--,"Mon, 2014 Nov 24 19:33",6:00,0.00,--,0.0,0.0,--,--,31,--,--,--,--,--,--,
 false,"Push-ups, vigorous - MyFitnessPal",Other,--,"Thu, 2014 Nov 20 17:25",3:00,0.00,--,0.0,0.0,--,--,11,--,--,--,--,--,--,
 false,"Sit-ups, vigorous - MyFitnessPal",Other,--,"Thu, 2014 Nov 20 17:18",5:00,0.00,--,0.0,0.0,--,--,27,--,--,--,--,--,--,
 
