Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,PE Mile Run,Street Running,--,"Mon, 2014 May 5 9:15",6:28,1.05,15,6:11,4:10,--,--,126,--,--,--,--,--,--,
 false,Canal Run,Running,--,"Fri, 2014 May 2 15:59",53:51,6.81,14,7:54,6:18,--,--,830,--,--,--,--,--,--,
 false,First Major Run After Sprained Ankle,Street Running,--,"Mon, 2014 Apr 28 16:22",32:52,4.39,11,7:30,5:57,--,--,534,--,--,--,--,--,--,
 false,Short Run After Sprained Ankle,Street Running,--,"Tue, 2014 Apr 1 8:25",9:00,1.23,--,7:19,6:36,--,--,150,--,--,--,--,--,--,
 false,Pacer Prelim Mile Run,Running,--,"Mon, 2014 Feb 24 15:49",6:31,1.00,--,6:29,4:25,--,--,125,--,--,--,--,--,--,
 false,6 Minute Cooper Run,Running,--,"Wed, 2014 Jan 22 9:18",6:05,1.02,103,5:57,3:18,--,--,118,--,--,--,--,--,--,
 false,Long Run With Jamie,Street Running,--,"Sat, 2014 Jan 11 9:15",1:11:33,7.80,263,9:11,6:31,--,--,942,--,--,--,--,--,--,
 false,Long-ish Run Toward Canal 2,Street Running,--,"Thu, 2014 Jan 9 15:46",21:18,2.92,98,7:18,5:37,--,--,357,--,--,--,--,--,--,
 false,Long-ish Run Toward Canal,Street Running,--,"Thu, 2014 Jan 9 15:41",3:57,0.44,47,8:54,5:43,--,--,55,--,--,--,--,--,--,
 false,Easy Run to Green Hills,Street Running,--,"Mon, 2014 Jan 6 15:59",19:54,2.71,108,7:21,5:14,--,--,329,--,--,--,--,--,--,
 false,Biking Near Queenstown,Mountain Biking,--,"Thu, 2014 Jan 2 13:51",1:36:46,14.63,"1,083",9.1,22.8,--,--,"1,666",--,--,--,--,--,--,
 false,Run Towards Queenstown,Trail Running,--,"Wed, 2014 Jan 1 21:38",21:46,3.01,200,7:14,5:20,--,--,361,--,--,--,--,--,--,
 false,Long NZ Run,Trail Running,--,"Tue, 2013 Dec 31 16:53",44:43,5.55,435,8:04,6:13,--,--,675,--,--,--,--,--,--,
 false,First NZ Run,Trail Running,--,"Sun, 2013 Dec 22 10:22",27:07,3.26,298,8:20,5:17,--,--,397,--,--,--,--,--,--,
 false,Make Up for 1/2 Marathon,Street Running,--,"Sun, 2013 Dec 1 6:59",1:16:42,9.29,259,8:15,6:40,--,--,"1,045",--,--,--,--,--,--,
 false,Easy Shakeout Run,Street Running,--,"Sat, 2013 Nov 30 10:34",18:47,2.31,89,8:07,5:21,--,--,261,--,--,--,--,--,--,
 false,Short Canal Run,Street Running,--,"Mon, 2013 Nov 25 15:50",31:07,4.04,169,7:42,5:16,--,--,458,--,--,--,--,--,--,
 false,Short Canal + Running Around JQ,Street Running,--,"Fri, 2013 Nov 22 15:31",36:13,4.68,185,7:45,6:47,--,--,526,--,--,--,--,--,--,
 false,Sprints at School,Track Running,--,"Mon, 2013 Nov 11 16:36",4:19,0.55,55,7:55,4:17,--,--,62,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Mon, 2013 Nov 11 16:00",3:08,0.56,55,5:33,3:15,--,--,63,--,--,--,--,--,--,
 
