Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,HM2W01D2,Running,--,"Tue, 2016 Nov 29 16:26",31:13,3.16,59,9:53,6:36,140,151,353,--,--,--,--,--,3.0,
 false,HM3W01D2B,Running,--,"Tue, 2016 Nov 15 16:55",34:56,4.60,49,7:36,7:07,151,169,404,--,--,--,--,--,3.6,
 false,HM3W01D2A,Running,--,"Tue, 2016 Nov 15 5:29",31:45,3.16,59,10:03,8:29,141,151,338,--,--,--,--,--,3.1,
 false,HM3W01D1,Running,--,"Mon, 2016 Nov 14 16:03",40:54,4.70,43,8:42,6:14,146,157,483,--,--,--,--,--,3.3,
 false,HM2W09D6,Running,--,"Sat, 2016 Nov 5 9:35",44:10,4.70,52,9:24,6:11,151,167,525,--,--,--,--,--,3.5,
 false,HM2W09D4,Running,--,"Thu, 2016 Nov 3 16:54",27:59,3.13,30,8:56,7:11,142,152,304,--,--,--,--,--,2.9,
 false,2016 10K Boneyard Run,Running,--,"Sat, 2016 Oct 29 9:17",56:33,6.20,92,9:07,7:36,164,178,754,--,--,--,--,--,4.9,
 false,HM2W08D4,Running,--,"Thu, 2016 Oct 27 18:28",29:04,3.20,43,9:05,6:26,146,170,326,--,--,--,--,--,3.0,
 false,HM2W08D3,Running,--,"Wed, 2016 Oct 26 16:15",31:17,3.30,46,9:29,7:02,143,157,345,--,--,--,--,--,3.1,
 false,HM2W08D2,Running,--,"Tue, 2016 Oct 25 16:25",33:54,3.70,33,9:10,6:22,141,165,346,--,--,--,--,--,3.0,
 false,HM2W07D7,Running,--,"Sun, 2016 Oct 23 17:39",43:10,4.10,69,10:32,7:01,141,151,467,--,--,--,--,--,3.0,
 false,HM2W07D5,Running,--,"Thu, 2016 Oct 20 16:36",42:11,4.40,69,9:35,5:30,143,164,464,--,--,--,--,--,3.2,
 false,HM2W07D3,Running,--,"Wed, 2016 Oct 19 16:20",48:13,5.10,56,9:27,6:31,146,170,504,--,--,--,--,--,3.4,
 false,HM2W07D2,Running,--,"Tue, 2016 Oct 18 16:23",35:24,3.70,30,9:34,8:17,143,151,379,--,--,--,--,--,3.1,
 false,HM2W06D7,Running,--,"Sun, 2016 Oct 16 17:08",32:29,2.90,46,11:12,8:20,142,151,333,--,--,--,--,--,2.8,
 false,HM2W06D6,Running,--,"Sat, 2016 Oct 15 10:10",40:46,4.10,43,9:57,7:02,158,171,491,--,--,--,--,--,3.8,
 false,HM2W06D3,Running,--,"Wed, 2016 Oct 12 16:27",39:11,4.58,26,8:34,6:18,155,172,454,--,--,--,--,--,3.7,
 false,HM2W06D2,Running,--,"Tue, 2016 Oct 11 16:42",33:15,3.34,43,9:57,7:14,146,167,352,--,--,--,--,--,3.2,
 false,HM2W05D7,Running,--,"Sun, 2016 Oct 9 7:36",1:37:26,8.70,92,11:12,7:34,147,166,"1,018",--,--,--,--,--,4.0,
 false,HM2W05D6,Running,--,"Sat, 2016 Oct 8 10:05",41:31,3.97,39,10:28,6:38,156,173,463,--,--,--,--,--,3.8,
 
