Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,10K Run GuCin Park,Running,--,"Sat, 2013 Nov 9 9:15",51:15,6.18,111,8:17,5:04,--,--,697,--,--,--,--,--,--,
 false,Hard Training for Half Marathon,Running,--,"Mon, 2013 Nov 4 15:40",1:43:40,12.52,486,8:17,4:13,--,--,"1,410",--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Thu, 2013 Oct 31 17:25",5:38,0.81,59,6:59,6:09,--,--,90,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Thu, 2013 Oct 31 17:05",11:10,1.70,108,6:33,4:25,--,--,192,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Tue, 2013 Oct 29 15:41",40:19,4.75,222,8:29,4:12,--,--,538,--,--,--,--,--,--,
 false,Training for Half Marathon,Street Running,--,"Mon, 2013 Oct 28 15:46",1:23:36,10.01,270,8:21,5:48,--,--,"1,128",--,--,--,--,--,--,
 false,Ultimate,Street Running,--,"Sun, 2013 Oct 27 13:30",1:24:58,3.51,62,24:14,4:22,--,--,370,--,--,--,--,--,--,
 false,Easy Shakeout,Street Running,--,"Thu, 2013 Oct 24 15:38",33:07,4.00,174,8:16,5:23,--,--,459,--,--,--,--,--,--,
 false,Easy Run,Street Running,--,"Tue, 2013 Oct 22 15:40",11:45,1.67,71,7:03,5:40,--,--,188,--,--,--,--,--,--,
 false,5K API Meet,Trail Running,--,"Sat, 2013 Oct 19 7:19",22:13,3.03,191,7:19,3:18,--,--,341,--,--,--,--,--,--,
 false,Shake Out in Guam,Trail Running,--,"Fri, 2013 Oct 18 15:05",18:29,2.38,228,7:48,4:12,--,--,274,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Thu, 2013 Oct 17 16:06",7:47,0.92,57,8:28,4:14,--,--,104,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Mon, 2013 Oct 14 16:21",22:22,3.05,120,7:20,4:06,--,--,343,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Thu, 2013 Oct 10 15:36",29:08,4.28,411,6:49,3:25,--,--,481,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, 2013 Oct 5 14:23",19:33,2.59,98,7:34,4:56,--,--,293,--,--,--,--,--,--,
 false,Untitled,Road Cycling,--,"Fri, 2013 Oct 4 8:09",1:49:21,22.58,636,12.4,37.7,--,--,"2,212",--,--,--,--,--,--,
 false,Untitled,Road Cycling,--,"Wed, 2013 Oct 2 11:02",41:27,10.78,256,15.6,23.1,--,--,865,--,--,--,--,--,--,
 false,Monday Exercise Break,Running,--,"Mon, 2013 Sep 30 11:05",28:34,3.78,151,7:33,4:50,--,--,428,--,--,--,--,--,--,
 false,First Run Back from Break,Running,--,"Sat, 2013 Sep 28 12:45",55:14,6.41,151,8:37,6:40,--,--,721,--,--,--,--,--,--,
 false,Bike Ride to LuJiaZui,Road Cycling,--,"Thu, 2013 Sep 19 13:31",1:07:52,14.64,"1,278",12.9,22.4,--,--,"1,317",--,--,--,--,--,--,
 
