Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Tucson Running,Running,--,"Sat, 2016 Jun 18 16:07",19:34,2.04,23,9:37,7:27,161,177,245,--,--,--,--,--,3.5,
 false,Tucson Running,Running,--,"Wed, 2016 Jun 15 17:12",15:26,1.71,20,9:01,7:01,155,172,187,--,--,--,--,--,3.0,
 false,Tucson Running,Running,--,"Tue, 2016 Jun 7 15:45",24:21,2.75,46,8:51,6:25,164,178,322,--,--,--,--,--,4.2,
 false,Tucson Running,Running,--,"Mon, 2016 Jun 6 16:28",17:53,2.03,30,8:48,5:28,159,178,233,--,--,--,--,--,3.5,
 false,Tucson Running,Running,--,"Fri, 2016 Jun 3 16:09",10:37,1.26,16,8:27,6:49,156,173,133,--,--,--,--,--,2.6,
 false,Tucson Running,Running,--,"Wed, 2016 May 25 17:14",26:58,3.21,79,8:24,6:56,160,175,350,--,--,--,--,--,3.6,
 false,Tucson Running,Running,--,"Sun, 2016 May 22 18:45",9:05,1.11,13,8:14,7:41,151,172,112,--,--,--,--,--,2.3,
 false,Tucson Running,Running,--,"Thu, 2016 May 19 16:40",34:15,3.76,66,9:07,5:07,165,179,462,--,--,--,--,--,4.4,
 false,Tucson Running,Running,--,"Wed, 2016 May 18 17:19",25:56,3.25,36,7:59,4:52,164,178,345,--,--,--,--,--,3.9,
 false,Tucson Running,Running,--,"Sat, 2016 May 14 17:12",39:02,4.09,72,9:33,6:04,168,179,539,--,--,--,--,--,4.9,
 false,Tucson Running,Running,--,"Sat, 2016 May 7 14:59",11:46,1.51,16,7:47,6:58,157,170,146,--,--,--,--,--,2.6,
 false,Tucson Running,Running,--,"Tue, 2016 May 3 16:44",24:37,3.12,33,7:53,7:19,163,180,322,--,--,--,--,--,3.6,
 false,Tucson Running,Running,--,"Mon, 2016 May 2 16:50",25:44,3.13,33,8:14,7:11,162,175,332,--,--,--,--,--,3.6,
 false,Tucson Running,Running,--,"Sun, 2016 May 1 15:59",25:52,3.12,30,8:18,6:23,168,177,353,--,--,--,--,--,4.0,
 false,Tucson Running,Running,--,"Tue, 2016 Apr 26 16:48",25:46,3.13,39,8:14,5:58,156,174,324,--,--,--,--,--,3.5,
 false,Tucson Running,Running,--,"Mon, 2016 Apr 25 16:46",25:39,3.13,59,8:11,7:00,164,177,336,--,--,--,--,--,3.9,
 false,Tucson Running,Running,--,"Fri, 2016 Apr 22 17:29",5:59,0.75,10,7:56,6:55,158,170,74,--,--,--,--,--,2.1,
 false,Tucson Running,Running,--,"Mon, 2016 Apr 18 19:07",23:06,3.00,36,7:41,5:10,164,176,301,--,--,--,--,--,3.9,
 false,Tucson Running,Running,--,"Sat, 2016 Apr 16 9:34",23:54,2.88,180,8:18,6:43,165,176,317,--,--,--,--,--,4.0,
 false,Tucson Running,Running,--,"Mon, 2016 Apr 11 5:31",25:15,3.04,30,8:18,6:48,159,174,322,--,--,--,--,--,3.8,
 
