Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Reid Park 3 Mile,Running,--,"Sun, 2016 Apr 10 7:58",24:37,3.01,26,8:11,7:17,160,176,319,--,--,--,--,--,3.8,
 false,Morning Run at Reid Park,Running,--,"Fri, 2016 Apr 8 5:41",25:40,3.00,23,8:33,7:22,165,179,352,--,--,--,--,--,4.2,
 false,Early Morning Reid Park Run,Running,--,"Wed, 2016 Apr 6 5:49",24:21,2.86,23,8:31,6:36,163,178,339,--,--,--,--,--,4.0,
 false,Short Run at Reid Park,Running,--,"Mon, 2016 Apr 4 16:07",28:27,2.71,39,10:29,6:20,153,178,355,--,--,--,--,--,3.5,
 false,Nashville Running,Running,--,"Tue, 2016 Mar 29 16:36",12:47,1.55,26,8:16,4:32,149,174,156,--,--,--,--,--,2.6,
 false,Flint Running,Running,--,"Sun, 2016 Mar 20 15:21",15:03,2.01,95,7:30,6:16,154,169,201,--,--,--,--,--,3.0,
 false,Flint Running,Running,--,"Fri, 2016 Mar 18 17:00",22:31,3.02,98,7:27,6:22,155,168,301,--,--,--,--,--,3.4,
 false,Short Jog After Volleyball ,Track Running,--,"Wed, 2016 Mar 16 18:09",3:10,0.49,3,6:27,5:32,158,168,41,--,--,--,--,--,1.6,
 false,Roadrunners Run a Mile,Track Running,--,"Mon, 2016 Mar 14 17:58",6:12,1.06,0,5:51,4:30,165,173,86,--,--,--,--,--,2.2,
 false,Flint Running,Running,--,"Mon, 2016 Mar 14 13:09",13:36,1.84,69,7:23,6:27,159,174,184,--,--,--,--,--,2.9,
 false,Flint Running,Running,--,"Sat, 2016 Mar 12 14:07",27:47,3.48,131,8:00,6:56,163,174,393,--,--,--,--,--,3.8,
 false,Flint Running,Running,--,"Fri, 2016 Mar 11 16:55",13:56,1.86,85,7:30,6:22,155,170,185,--,--,--,--,--,2.8,
 false,Flint Running,Running,--,"Thu, 2016 Mar 10 16:19",20:46,2.81,121,7:23,5:29,159,171,284,--,--,--,--,--,3.3,
 false,"Swimming laps, freestyle, light/moderate effort - MyFitnessPal",Lap Swimming,--,"Wed, 2016 Mar 9 22:00",20:00,--,--,--,--,--,--,161,--,--,--,--,--,--,
 false,Water polo - MyFitnessPal,Other,--,"Tue, 2016 Mar 8 21:35",30:00,--,--,--,--,--,--,345,--,--,--,--,--,--,
 false,Treadmill Running,Treadmill Running,--,"Mon, 2016 Mar 7 19:00",3:19,0.43,3,7:38,7:01,152,166,41,--,--,--,--,--,1.6,
 false,Indoor Rowing,Indoor Rowing,--,"Mon, 2016 Mar 7 18:49",3:41,0.00,--,0.0,--,120,143,30,99,--,--,--,--,1.2,
 false,5k Row at Rec,Indoor Rowing,--,"Sun, 2016 Mar 6 12:16",22:41,0.00,--,0.0,--,156,170,303,659,--,--,--,--,3.4,
 false,Rochester Running,Running,--,"Fri, 2016 Mar 4 9:35",11:18,1.41,46,8:02,7:04,151,168,145,--,--,--,--,--,2.7,
 false,2k Row,Indoor Rowing,--,"Wed, 2016 Mar 2 19:12",7:54,0.00,--,0.0,--,150,170,101,240,--,--,--,--,2.3,
 
